indicator,age_modifier,sex_modifier,value,county,sub_indicator
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,42,Kitui,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,26,Kitui,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,35,Kitui,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,24,Kitui,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,34,Kitui,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,69,Kitui,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,1392,Kitui,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,518,Kitui,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,996,Kitui,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,1514,Kitui,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,11226,Kitui,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,6432,Kitui,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,17658,Kitui,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,4650,Kitui,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,1389,Kitui,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,6039,Kitui,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,151.4,Kitui,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,152.7,Kitui,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,152.1,Kitui,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,97.1,Kitui,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,98.8,Kitui,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,98,Kitui,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,58.3,Kitui,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,48.1,Kitui,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,53.1,Kitui,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,82.7,Kitui,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,81.5,Kitui,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,82.1,Kitui,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,626579,Kitui,County population FEMALE
county_population,TOTAL,MALE,603211,Kitui,County population MALE
county_population,TOTAL,TOTAL,1229790,Kitui,County population TOTAL
school_age_children,TOTAL,FEMALE,205712,Kitui,School-aged children FEMALE
school_age_children,TOTAL,MALE,201432,Kitui,School-aged children MALE
school_age_children,TOTAL,TOTAL,407144,Kitui,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,6320,Kitui,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,7510,Kitui,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,13830,Kitui,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,4090,Kitui,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,4630,Kitui,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,8720,Kitui,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,4650,Kitui,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,5530,Kitui,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,10180,Kitui,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,9.2,Kitui,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,11.5,Kitui,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,0.8999999999999999,Kitui,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,567,Laikipia,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,373,Laikipia,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,140,Laikipia,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.97,Laikipia,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.95,Laikipia,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.02,Laikipia,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,48,Laikipia,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,32,Laikipia,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,25,Laikipia,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,41,Laikipia,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,31,Laikipia,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,36,Laikipia,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,32,Laikipia,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,168,Laikipia,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,0,Laikipia,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,0,Laikipia,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,0,Laikipia,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,9075,Laikipia,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,8935,Laikipia,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,18010,Laikipia,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,1521,Laikipia,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,10450,Laikipia,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,11971,Laikipia,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,115.1,Laikipia,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,116.7,Laikipia,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,115.9,Laikipia,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,80.5,Laikipia,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,79.9,Laikipia,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,80.2,Laikipia,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,64.7,Laikipia,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,54.2,Laikipia,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,59.3,Laikipia,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,88.6,Laikipia,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,87.6,Laikipia,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,88.1,Laikipia,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,290317,Laikipia,County population FEMALE
county_population,TOTAL,MALE,270906,Laikipia,County population MALE
county_population,TOTAL,TOTAL,561223,Laikipia,County population TOTAL
school_age_children,TOTAL,FEMALE,94802,Laikipia,School-aged children FEMALE
school_age_children,TOTAL,MALE,93214,Laikipia,School-aged children MALE
school_age_children,TOTAL,TOTAL,188016,Laikipia,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,3240,Laikipia,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,3480,Laikipia,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,6720,Laikipia,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,4630,Laikipia,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,5320,Laikipia,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,9950,Laikipia,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,2450,Laikipia,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,3860,Laikipia,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,6310,Laikipia,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,9.1,Laikipia,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,34.5,Laikipia,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,10.9,Laikipia,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,606,Embu,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,519,Embu,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,209,Embu,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.95,Embu,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.96,Embu,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.99,Embu,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,44,Embu,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,26,Embu,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,24,Embu,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,46,Embu,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,25,Embu,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,37,Embu,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,24,Embu,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,169,Embu,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,973,Embu,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,1409,Embu,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,2382,Embu,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,0,Embu,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,0,Embu,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,0,Embu,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,12,Embu,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,921,Embu,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,933,Embu,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,132.9,Embu,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,134.9,Embu,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,133.9,Embu,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,87,Embu,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,87.3,Embu,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,87.1,Embu,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,78.7,Embu,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,73.3,Embu,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,75.9,Embu,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,90.2,Embu,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,89.7,Embu,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,90,Embu,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,328389,Embu,County population FEMALE
county_population,TOTAL,MALE,320035,Embu,County population MALE
county_population,TOTAL,TOTAL,648425,Embu,County population TOTAL
school_age_children,TOTAL,FEMALE,89600,Embu,School-aged children FEMALE
school_age_children,TOTAL,MALE,89781,Embu,School-aged children MALE
school_age_children,TOTAL,TOTAL,179381,Embu,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,1960,Embu,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,2310,Embu,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,4270,Embu,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,820,Embu,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,850,Embu,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,1670,Embu,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,1570,Embu,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,2450,Embu,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,4020,Embu,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,14.399999999999999,Embu,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,40.300000000000004,Embu,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,21.5,Embu,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,1242,Kajiado,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,679,Kajiado,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,165,Kajiado,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.94,Kajiado,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.97,Kajiado,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.03,Kajiado,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,50,Kajiado,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,40,Kajiado,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,28,Kajiado,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,50,Kajiado,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,38,Kajiado,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,42,Kajiado,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,32,Kajiado,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,228,Kajiado,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,189,Kajiado,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,3474,Kajiado,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,3663,Kajiado,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,0,Kajiado,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,0,Kajiado,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,0,Kajiado,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,0,Kajiado,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,0,Kajiado,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,0,Kajiado,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,74.9,Kajiado,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,77.4,Kajiado,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,76.2,Kajiado,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,61.5,Kajiado,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,62.7,Kajiado,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,62.1,Kajiado,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,39,Kajiado,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,35.5,Kajiado,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,37.3,Kajiado,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,84,Kajiado,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,84.6,Kajiado,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,84.3,Kajiado,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,637480,Kajiado,County population FEMALE
county_population,TOTAL,MALE,630782,Kajiado,County population MALE
county_population,TOTAL,TOTAL,1268261,Kajiado,County population TOTAL
school_age_children,TOTAL,FEMALE,204304,Kajiado,School-aged children FEMALE
school_age_children,TOTAL,MALE,200521,Kajiado,School-aged children MALE
school_age_children,TOTAL,TOTAL,404825,Kajiado,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,10140,Kajiado,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,9240,Kajiado,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,19380,Kajiado,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,9950,Kajiado,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,11170,Kajiado,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,21120,Kajiado,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,5660,Kajiado,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,6180,Kajiado,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,11840,Kajiado,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,21.8,Kajiado,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,36.1,Kajiado,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,16.900000000000002,Kajiado,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,1562,Kilifi,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,795,Kilifi,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,200,Kilifi,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.98,Kilifi,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.97,Kilifi,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.92,Kilifi,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,52,Kilifi,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,57,Kilifi,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,40,Kilifi,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,54,Kilifi,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,51,Kilifi,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,42,Kilifi,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,39,Kilifi,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,323,Kilifi,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,8687,Kilifi,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,13977,Kilifi,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,22664,Kilifi,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
